id;naam;categorie_id;gepubliceerd;gearchiveerd;created_at;updated_at;created_by;updated_by
1103;Pencak silat;77;1;0;NULL;NULL;NULL;NULL
1105;Schermen;69;1;0;NULL;NULL;NULL;NULL
1106;Taekwondo;73;1;0;NULL;NULL;NULL;NULL
1107;Worstelen;84;1;0;NULL;NULL;NULL;NULL
1108;Wushu;85;1;0;NULL;NULL;NULL;NULL
1110;Body building;29;1;0;NULL;NULL;NULL;NULL
1386;Ballet;21;1;0;11/03/2010 14:36;24/05/2011 11:50;NULL;NULL
1113;Figuurcorrectie & rugschool;10;1;1;NULL;NULL;NULL;NULL
1114;Fitness;39;1;0;NULL;NULL;NULL;NULL
1115;Gewichtheffen - Powerliften;41;1;0;NULL;NULL;NULL;NULL
1116;Trampoline;43;1;0;NULL;NULL;NULL;NULL
1117;Tumbling;43;1;0;NULL;NULL;NULL;NULL
1120;Deltavliegen;58;1;0;NULL;NULL;NULL;NULL
1123;Zweefvliegen;58;1;0;NULL;NULL;NULL;NULL
1125;Sportklimmen - rots;28;1;0;NULL;NULL;NULL;NULL
1126;Bergwandelen en trekking;28;1;0;NULL;NULL;NULL;NULL
1128;Sportklimmen - muur;28;1;0;NULL;NULL;NULL;NULL
1465;Oriëntatielopen - looporiëntatie;61;1;0;16/07/2010 10:32;16/07/2010 10:32;NULL;NULL
1131;Bergbeklimmen - ski-alpinisme;28;1;0;NULL;NULL;NULL;NULL
1132;Snowboarden;71;1;0;NULL;NULL;NULL;NULL
1133;Speleologie;28;1;0;NULL;NULL;NULL;NULL
1134;Wandelen;81;1;0;NULL;NULL;NULL;NULL
1135;Duatlon;76;1;0;NULL;NULL;NULL;NULL
1136;Triatlon;76;1;0;NULL;NULL;NULL;NULL
1137;Acrobatische gymnastiek;43;1;0;NULL;NULL;NULL;NULL
1138;Sports aerobics;39;1;0;NULL;NULL;NULL;NULL
1140;Gymnastiek;43;1;0;NULL;NULL;NULL;NULL
